Mapped Region,Geographical Region,Institution(s),Contributor Name(s),Type of Data,Reference
Southeastern Caribbean,Martinique,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Southeastern Caribbean,Haiti,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Southeastern Caribbean,Grenada,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Southeastern Caribbean,Colombia,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Southeastern Caribbean,Anguilla,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Southeastern Caribbean,Antigua and Barbuda,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Southeastern Caribbean,Barbados,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Southeastern Caribbean,Dominican Republic,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Southeastern Caribbean,Belize,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Southeastern Caribbean,British Virgin Islands,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Southeastern Caribbean,Colombia - Continental Reefs,José Benito Vives de Andréis Marine and Coastal Research Institute (INVEMAR),Díaz et al. (2000),Existing Maps,"Díaz, J., L. Barrios, M. Cendales, J. Garzón-Ferreira, J. Geister, M. López-Victoria, G. Ospina, F. Parra-Velandia, J. Pinzón., B. Vargas-Ángel, F. Zapata y S. Zea. 2000. Áreas coralinas de Colombia. INVEMAR, Serie Publicaciones Especiales No. 5, Santa Marta. 176pp. 
 
En: Atlas de Areas Coralinas de Colombia Fase II (WFS). https://areas-coralinas-de-colombia-invemar.hub.arcgis.com/datasets/atlas-de-areas-coralinas-de-colombia-fase-ii-wfs"
Southern Asia,Sri Lanka,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Southern Asia,"Goa, India",Technology for Wildlife,Shashank Srinivasan,Existing point data,"Technology for Wildlife. Coral reef video transects of St. George's Island off the coast of Goa, India"
Southern Asia,"Grande Island, Goa",CSIR-National Institute of Oceanograph,Afreen Hussain,Existing point data,"Hussain, A., Thomas, L., Nagesh, R., Mote, S., Patil, A., Pujari, L., De, K. & Ingole, B. (2016). Coral reef at risk: anthropogenic stressors in Grande Island, Goa. In:. Paper presented at the Development in Coastal Zones of India - Present Status and Future Need. At CSIR National, Institute of Oceanography, Mumbai."
Southern Asia,Gulf of Kachchh,Zoological Survey of India,Kumar et al.,Published paper or report,"Kumar, J. S. Y., Marimuthu, N., Geetha, S., Satyanarayana, C., Venkataraman, K., & Kamboj, R. D. (2014). Longitudinal variations of coral reef features in the Marine National Park, Gulf of Kachchh. 18(3), 167-175. https://doi.org/10.1007/s11852-014-0303-6 
"
Southern Asia,Gulf of Kachchh,"Space Applications Centre, Indian Space Research Organisation",Gujrati et al.,Published paper or report,"Paper: Arora, M., Gujrati, A., Chaudhury, N. R., & Patel, R. C. (2018). Benthic coverage and bottom topography of coral reef environment over Pirotan reef, Gulf of Kachchh region, India. Geocarto International, 34(10), 1089-1097. https://doi.org/10.1080/10106049.2018.1469678"
Southern Asia,"Gulf of Kachchh, Gulf of Mannar and Pirotan Island","Space Applications Centre (ISRO), Ahmedabad, India",Bahuguna et al.,Published paper or report,"Bahuguna, A., Ray Chaudhury, N., Bhattji, S., Ajai, & Navalgund, R. (2013). Spatial inventory and ecological status of coral reefs of the Central Indian Ocean using Resourcesat-1. Indian Journal of Geo-Marine Sciences, 42, 684-696. 
"
Southern Asia,Gulf of Mannar,Suganthi Devadasan Marine Research Institute (SDMRI),Edward Patterson,Existing point data,Data: SDMRI. (2017). Coral reef monitoring in Palk Bay.
Southern Asia,Gulf of Mannar,Suganthi Devadasan Marine Research Institute (SDMRI),Edward Patterson,Existing point data,SDMRI. (2015). Coral reef monitoring in the Gulf of Mannar.
Southern Asia,Gulf of Mannar,"Centre of Advanced Study in Marine Biology, Annamalai University",Thangaradjou et al.,Published paper or report,"Thangaradjou, T., Sridhar, R., Senthilkumar, S., & Kannan, S. (2008). Seagrass resource assessment in the Mandapam coast of the Gulf of Mannar Biosphere Reserve, India. Applied Ecology and Environmental Research, 6(1), 139-146."
Southern Asia,Gulf of Mannar,"Uva Wellassa University, Badulla, Sri Lanka",Naveenan et al.,Published paper or report,"Naveenan, M., Weragodatenna, D., Gunaratne, A., Rathnayake, R., & Jayamanne, S. (2015). Remote Sensing and GIS approach in assessment and conservation of Seaigrass Beds in the coastal stretch along Gulf of Mannar. 
"
Southern Asia,Myanmar,Wildlife Conservation Society,"Meira Mizrahi, Hedley Grantham",New georeferenced phototransects,Phototransects collected in 2019 around Myanmar.  Wildlife Conservation Society
Southern Asia,Myanmar,Flora and Fauna International (supported by Woodside Myanmar),Sue Murray-Jones,Existing point data and Maps,"Murray-Jones, S. (Ed.). 2020. Marine and coastal biodiversity of the Mawtin Coast: Survey results and conservation recommendations. Capacity Building for Coastal Biodiversity Monitoring, Mawtin Coast Partnership, Myanmar. Pp 137. MCAP Report No 10, FFI, Yangon. ISBN: 9 789997 109231"
Southern Asia,Myanmar,Flora and Fauna International,U Soe Htun,Existing point data,"Soe-Htun, U., Maung, A., Mon, S., Ha, S. T., Aung, S. T., Lwin, A. M. & Lunn, Z. (2015). Seagrass conservation and monitoring in Myanmar: the biodiversity, distribution and coverage of seagrasses in the Tanintharyi and Rakhine."
Southern Asia,Palk Bay,CSIR-National Institute of Oceanography,Balakrishnan Manikandan,Existing point data,"Manikandan, B., Ravindran, J., Shrinivaasu, S., Marimuthu, N., & Paramasivam, K. (2014). Community structure and coral status across reef fishing intensity gradients in Palk Bay reef, southeast coast of India. Environmental Monitoring and Assessment, 186(10), 5989-6002. https://doi.org/10.1007/s10661-014-3835-1"
Southern Asia,Palk Bay,CSIR-National Institute of Oceanography,Balakrishnan Manikandan,Existing point data,"Manikandan, B., Ravindran, J., Vidya, P. J., Shrinivasu, S., Manimurali, R., & Paramasivam, K. (2017). Resilience potential of an Indian Ocean reef: an assessment through coral recruitment pattern and survivability of juvenile corals to recurrent stress events. Environmental Science and Pollution Research (international), 24(15), 13614-13625. doi:10.1007/s11356-017-8772-4
"
Southern Asia,Palk Bay,Zoological Survey of India,Venkataraman et al.,Published paper or report,"Venkataraman, K., & Rajan, R. (2013). Status of coral reefs in Palk Bay. Records of Zoological Survey of India (113), 1–11."
Southern Asia,"Palk Bay, Gulff of Mannar, Gulf of Kachchh and Chilika lake","National Centre for Sustainable Coastal Management (NCSCM), Ministry of Environment, Forest and Climate Change, Government of India",Geevarghese et al.,Published paper or report,"Geevarghese, G. A., Akhil, B., Magesh, G., Krishnan, P., Purvaja, R., & Ramesh, R. (2018). A comprehensive geospatial assessment of seagrass distribution in India. Ocean & Coastal Management, 159, 16-25."
Southern Asia,"Palk Strait, Sri Lanka","Monitoring and Evaluation Division, National Aquatic Resources Research and Development Agency, Crow Island, Sri Lanka",Weragodatenna et al.,Published paper or report,"Weragodatenna, D. D., & Gunarathne, A. K. (2016). Detection of aquatic habitats by Geo-Eye satellite images at the Palk Strait, Sri Lanka. Asian Journal of Geoinformatics, 15. 
"
Southern Asia,Pirotan Island,"Graduate School of Engineering and Science, University of the Ryukyus, Okinawa, Japan",Sharma et al.,Published paper or report,"Sharma, S., Bahuguna, A., Chaudhary, N., Nayak, S., Chavan, S., & Pandey, C. (2008). Status and monitoring the health of coral reef using Multi-temporal remote sensing - A case study of Pirotan Coral Reef Island, Marine National Park, Gulf of Kachchh, Gujarat, India."
Southern Asia,Sri Lanka,"Blue Resources Trust
",Nishan Perera,Existing point data and Maps,"BRT. Coral Reef Benthic data and habitat maps, Sri Lanka, India."
Southern Asia,Sri Lanka,Ocean Resources Conservation Association (ORCA),Prasanna Weerakkody,Existing point data,"""Dugong and Sea grass Conservation Project""  Implemented by Ocean Resources Conservation Association (ORCA) -Funded by GEF/UNEP/ CMS/ Mohamed bin Zayed Species Conservation Fund  
Project title: Increasing knowledge on sea grass habitats and Dugong distribution at selected sites in North -Western Sri Lanka"
Southern Asia,Sri Lanka,Blue Resources Trust,Susantha Udagedara,Existing point data,"Susantha Udagedara, 2020. Segrass Distribution in Sri Lanka and India. Blue Resources Trust"
Southern Asia,"India - Tarkarli (Maharastra State), Goa and Netrani (Karnataka State)",Coastal Impact,Venkatesh Charloo - Founder Trustee,Existing point data,Underwater Biodiversity Surveys
Southern Asia,Bangladesh,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Southern Asia,Myanmar,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
Southwestern Pacific,American Samoa,Bangor University,Adel Heenan,Existing point data,"Heenan, A., Williams, I., Acoba, T. et al. Long-term monitoring of coral reef fish assemblages in the Western central pacific. Sci Data 4, 170176 (2017) doi:10.1038/sdata.2017.176.

Pacific Islands Fisheries Science Center, 2019: National Coral Reef Monitoring Program: Stratified Random Surveys (StRS) of Reef Fish, including Benthic Estimate Data of the Hawaiian Archipelago since 2013 from 2010-06-15 to 2010-08-15. NOAA National Centers for Environmental Information, https://inport.nmfs.noaa.gov/inport/item/24447.

These data were collected as part of the NOAA Pacific Reef Assessment and Monitoring Program, supported by the NOAA Coral Reef Conservation Program."
Southwestern Pacific,American Samoa,University of Guam,Dr. Peter Houk,Existing point data,"Comeros-Raynal, M.T., Lawrence, A., Sudek, M. et al. Coral Reefs (2019) 38: 505. https://doi.org/10.1007/s00338-019-01806-8."
Southwestern Pacific,American Samoa,NOAA PIFSC,,Existing point data,"NOAA Pacific Islands Fisheries Science Center, Ecosystem Sciences Division (2018). National Coral Reef Monitoring Program: Towed-diver surveys of benthic habitats, key benthic species, and marine debris of American Samoa. NOAA National Centers for Environmental Information. Dataset. https://doi.org/10.7289/v59g5k30. August 26 2019."
Southwestern Pacific,American Samoa,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Southwestern Pacific,Fiji,WCS,"Dr. Emily Darling, Yashika Nand, Dr. Sangeeta Mangubhai",New georeferenced phototransects,"These data were collected as part of the Allen Coral Atlas's partnership with the WCS MACMON monitoring program, generously funded by the Paul M. Angell Family Foundation, Bloomberg Philanthropies Vibrant Oceans partnership, Blue Action Fund, and the John D. and Catherine T. MacArthur Foundation."
Southwestern Pacific,Fiji,USP; WWF-Fiji,"Moses Mataika, George Naboutuiloma, Janice Taga",New georeferenced phototransects,Allen Coral Atlas Partnership
Southwestern Pacific,Niue,National Geographic Pristine Seas,Dr. Alan Friedlander,Existing point data,"Friedlander AM, Arribas J, Ballesteros E, Betz J, Bosserelle P, Brown E, Caselle JE, Cramp JE, Gataua L, Helagi N, Mayorga J, McAloney D, Myers D, Pasisi B, Richmond’Rex A, Rose P, Salinas-de-León P, San Félix M, Thompson C, Turchik A, Sala E. 2017. Exploring the marine ecosystems of Niue and Beveridge Reef. Report to the government of Niue. National Geographic Pristine Seas."
Southwestern Pacific,Samoa,Justus-Liebig-Universität Gießen,Maren Ziegler,Existing point data,"Ziegler M, Quéré G, Ghiglione J-F, Iwankow G, Barbe V, Boissin E, Wincker P, Planes S, and Voolstra CR (2018) Status of coral reefs of Upolu (Independent State of Samoa) in the South West Pacific and recommendations to promote resilience and recovery of coastal ecosystems. Marine Pollution Bulletin 129:392-398."
Southwestern Pacific,Tonga,James Cook University,Dr. Patrick Smallhorn-West,Existing point data,"Smallhorn-West P. F., Malimali S., Halafihi T., Stone K., Ceccarelli D., Bridge T., Pressey R., Jones G. Kingdom of Tonga coral reef outlook report. Tonga. 2016-2020. James Cook University and the Australian Research Council Centre for Excellence in Coral Reef Studies."
Southwestern Pacific,Vanuatu,C2O Pacific,Dr. Johanna Johnson,Existing point data,"Vanuatu data provided by C2O Pacific –Johanna Johnson, Eryn Hooper, Sarah Dwyer and David Welch – with surveys conducted under the SPC RESCCUE project funded by AFD and FFEM, and the PEBACC project funded by SPREP."
Southwestern Pacific,Fiji,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Southwestern Pacific,New Caledonia,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Southwestern Pacific,Tonga,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Southwestern Pacific,New Caledonia,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
Subtropical Eastern Australia,Australia,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Subtropical Eastern Australia,Australia,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Subtropical Eastern Australia,Australia - South East Queensland,Reef Check Australia,Dr. Chris Roelfsema,Existing point data,"Reef Check Australia 2019-2020 South East Queensland Season Summary Report. J. Salmond, J Schubert (2020).
Reef Check Australia 2018-2019 South East Queensland Season Summary Report. J. Salmond, E. Kovaks, J. Needham and L. Jubb (2019).
Reef Check Australia 2017-18 South East Queensland Season Summary Report. R. Mulloy, J. Salmond, J. Passenger and J. Loder (2018)."
Subtropical Eastern Australia,Australia - Moreton Bay,"Remote Sensing Research Center, University of Queensland, Australia",Dr. Chris Roelfsema,New georeferenced phototransects,"Roelfsema, Chris M; Kovacs, Eva M; Moffatt, David; Phinn, Stuart R; Hoseck, Steve (2015): Habitat map of seagrass cover derived from a supervised moderate-spatial-resolution multi-spectral satellite image, integrated with manual delineation and coincident field data, Moreton Bay, 2011, with link to shapefile. Dataset (10.1594/PANGAEA.846271)"
Subtropical Eastern Australia,Australia - Moreton Bay,"Remote Sensing Research Center, University of Queensland, Australia",Dr. Chris Roelfsema,Existing Maps,"Roelfsema, C.M., Loder, J., Host, R. & Kovacs, E.M. (2018): Benthic inventory of reef areas in Moreton Bay, Australia. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.892402

Roelfsema, C.M., Andersen, R., Arlow, P., Barrenger, T., Bray, P., Grol, M., Kunze, J., O'Hagen, A., Pheasant, M., Pollard, L., Stenhouse, M. & Stetner, D. (2018): 2017 Habitat Maps derived from Flinders Reef Ecological Assessment (FREA) surveys, Queensland, Australia in ArcGIS (shapefile). https://doi.pangaea.de/10.1594/PANGAEA.890756

Roelfsema, C.M., Bansemer, C., McMahon, K. & Joyce, K. (2016): 2003 Habitat Maps derived from Grey Nurse Shark (GNS) Project of Wolf Rock, Double Island Point, Queensland, Australia. University of Queensland Underwater Club, Brisbane, Australia, Dataset doi: 10.1594/PANGAEA.864211

Pheasant, M., Stetner, D., Pollard, L., Barrenger, T., Raby, L. & Roelfsema, C. (2015): Habitat Maps derived from Point Lookout Ecological Surveys (PLEA) of the Shag Rock, Manta Ray Bommie and Flat Rock dive sites at Point Lookout, North Stradbroke Island, Australia, in 2014, in ArcGIS (shapefile) format. doi:10.1594/PANGAEA.845011

Kovacs, E.M., Bray, P., Thurstan, R., Flower, J., Beger, M., Gallo, M., Loder, J., Gomez Cabrera, K.L., Lea, A., Ortiz, J. & Roelfsema, C.M. (2014): Ecological assessment data of the marine flora and fauna of Point Lookout in 2014. University of Queensland Underwater Club, Brisbane, Australia, Dataset doi:10.1594/PANGAEA.843122"
Subtropical Eastern Australia,Australia,Reef Life Survey Foundation,"Emre Turak, Prof. Graham Edgar, Lizzi Oh, Dr. Rick Stuart-Smith",Existing point data,"Edgar, G.J., Cooper, A., Baker, S.C., Barker, W., Barrett, N.S., Becerro, M.A., Bates, A.E., Brock, D., Ceccarelli, D.M., Clausius, E., Davey, M., Davis, T.R., Day, P.B., Green, A., Griffiths, S.R., Hicks, J., Hinojosa, I.A., Jones, B.K., Kininmonth, S., Larkin, M.F., Lazzari, N., Lefcheck, J.S., Ling, S.D., Mooney, P., Oh, E., Pérez-Matus, A., Pocklington, J.B., Riera, R., Sanabria-Fernandez, J.A., Seroussi, Y., Shaw, I., Shields, D., Shields, J., Smith, M., Soler, G.A., Stuart-Smith, J., Turnbull, J. & Stuart-Smith, R.D. (2020). Establishing the ecological basis for conservation of shallow marine life using Reef Life Survey. Biological Conservation 252, 108855."
The Great Barrier Reef and Torres Strait,Australia - The Great Barrier Reef,"ARC Centre of Excellence for Coral Reef Studies, James Cook University, Townsville, Australia",Prof. Andrew Hoey,Existing point data,Project: Coral Reef Health in the Coral Sea Marine Park
The Great Barrier Reef and Torres Strait,Australia - The Great Barrier Reef,"Centre for Tropical Water & Aquatic Ecosystem Research (TropWATER), James Cook University, Cairns Campus",McKenzie et al.,Existing Maps,"McKenzie, L. J., Yoshida, R. L., Grech, A., & Coles, R. (2014). Composite of coastal seagrass meadows in Queensland, Australia - November 1984 to June 2010 PANGAEA. https://doi.org/10.1594/PANGAEA.826368
"
The Great Barrier Reef and Torres Strait,Australia - The Great Barrier Reef,Australian Institute of Marine Science (AIMS),Angus Thompson,Existing point data,"Australian Institute of Marine Science (AIMS). (2014). Reef Plan monitoring of inshore coral reef communities, Great Barrier Reef (RRMMP), https://doi.org/10.25845/5cc64f29b35a1, accessed 22-Jul-2020."
The Great Barrier Reef and Torres Strait,Australia - The Great Barrier Reef,"TropWATER Seagrass Group, James Cook University and The Commonwealth Scientific and Industrial Research Organisation (CSIRO)",Coles et al.,Existing point data,"Coles, R., Carter, A., McKenna, S., Rasheed, M. & McKenzie, L. (2016). Collation of spatial seagrass data (meadow extent polygons, species presence/absence points) from 1984 - 2014 for the Great Barrier Reef World Heritage Area (GBRWHA) (NESP TWQ 3.1, TropWATER, JCU). eAtlas.dataset. https://eatlas.org.au/data/uuid/77998615-bbab-4270-bcb1-96c46f56f85a
https://metadata.imas.utas.edu.au:443/geonetwork/srv/en/metadata.show?uuid=77998615-bbab-4270-bcb1-96c46f56f85a "
The Great Barrier Reef and Torres Strait,Australia - Torres Strait,"TropWATER, James Cook University","Dr. Alexandra Carter, Dr. Michael Rasheed",Existing point data,"Carter, A. B., & Rasheed, M. A. (2016). Benthic survey of Dugong and Turtle seagrass habitats in the North-West Torres Strait for November 2015 and January 2016 (NESP TWQ 3.5, TropWATER, JCU) eAtlas. https://eatlas.org.au/data/uuid/034ce816-0777-4bbd-aefc-8b73bd540245"
The Great Barrier Reef and Torres Strait,"Australia - Orman Reefs, Torres Strait","TropWATER, James Cook University","Dr. Alexandra Carter, Juliette Wilkinson",Existing point data,"Carter, A. B., Mellors, J. M., Reason, C., & Rasheed, M. A. (2019). Torres Strait Seagrass 2019 Report Card. Centre for Tropical Water & Aquatic Ecosystem Research Publication 19/16, James Cook University, Cairns. https://eatlas.org.au/data/uuid/ea17c4d1-e984-45a8-b3c2-395ebcf436a7?_ga=2.88252626.814965081.1599606386-18792116.1549245104"
The Great Barrier Reef and Torres Strait,"Australia - Orman Reefs, Torres Strait","TropWATER, James Cook University","Dr. Alexandra Carter, Carissa Reason",Existing point data,"Carter, A. B., Mellors, J. M., Reason, C., & Rasheed, M. A. (2019). Torres Strait Seagrass 2019 Report Card. Centre for Tropical Water & Aquatic Ecosystem Research Publication 19/16, James Cook University, Cairns. https://eatlas.org.au/data/uuid/29a19cf3-3975-4b82-baae-92024a2f2425"
The Great Barrier Reef and Torres Strait,"Australia - Orman Reefs, Torres Strait","TropWATER, James Cook University","Dr. Alexandra Carter, Dr. Michael Rasheed",Existing point data,"Carter, A. B., & Rasheed, M. A. (2018). Seagrass baseline survey for Orman Reef, Torres Strait, 2017 (TropWATER, JCU) eAtlas. https://eatlas.org.au/data/uuid/30c80ed2-f506-4e37-9d02-83279642fd6d, https://researchdata.edu.au/seagrass-baseline-survey-tropwater-jcu"
The Great Barrier Reef and Torres Strait,Australia - The Great Barrier Reef,James Cook University,Williamson et al,Existing point data,"Williamson, D., Russ. G., Evans, R., Ceccarelli, D., Willis, B., & Lamb, J. (2014). Benthic cover and fish density on fringing reefs of inshore island groups of the GBR, 1999 – 2014 (NERP 8.2, JCU) eAtlas. http://eatlas.org.au/pydio/data/public/833ece.php"
The Great Barrier Reef and Torres Strait,"The Great Barrier Reef, Australia","Remote Sensing Research Center, University of Queensland, Australia",Roelfsema et al.,New georeferenced phototransects,"Roelfsema, C. M., Kovacs, E. M., Markey, K. & Phinn, S. R. (2018). Benthic and substrate cover data derived from field photo-transect surveys for the Cairns to Cooktown management region of the Great Barrier Reef (GBR), January and April/May 2017. PANGAEA, https://doi.org/10.1594/PANGAEA.892623
Roelfsema, C. M., Kovacs, E. M., Markey, K. & Phinn, S. R. (2018): Benthic and substrate cover data derived from field photo-transect surveys for the Far Northern management region of the Great Barrier Reef. PANGAEA, https://doi.org/10.1594/PANGAEA.891736
Roelfsema, C. M., Kovacs, E. M., Stetner, D. & Phinn, S. R. (2018): Georeferenced benthic photoquadrats captured annually from 2002-2017, distributed over Heron Reef flat and slope areas. PANGAEA, https://doi.org/10.1594/PANGAEA.894801
"
The Great Barrier Reef and Torres Strait,Australia - Torres Strait,SeaMap Australia: University of Tasmania,"Dr. Vanessa Lucieer, Peter Walsh, Dr. Emma Flukes, Claire Butler, Dr. Roger Proctor, Prof. Craig Johnson",Existing Maps,"Lucieer, V., Walsh, P., Flukes, E., Butler, C., Proctor, R. & Johnson, C. (2017). Seamap Australia - a national seafloor habitat classification scheme. Institute for Marine and Antarctic Studies (IMAS), University of Tasmania (UTAS). "
The Great Barrier Reef and Torres Strait,Australia - Torres Strait,James Cook University,James Cook University,Existing Maps,James Cook University (2014). Torres Strait Seagrass Mapping Consolidation. Data accessed at http://metadata.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=e7ea913e-2528-4ece-847c-a25722e11c1 on (22/07/2020).
The Great Barrier Reef and Torres Strait,"Australia - Lady Musgrave Island, southern Great Barrier Reef","School of Earth and Environmental Sciences, University of Wollongong, Australia
GeoCoastal Research Group, School of Geosciences, Faculty of Science, University of Sydney, Australia
School of Geography, Planning and Environmental Management, University of Queensland, Australia

",Hamylton et al.,Existing Maps,"Hamylton, S. M., Carvalho, R. C., Duce, S., Roelfsema, C. M., & Vila‐Concejo, A. (2016). Linking pattern to process in reef sediment dynamics at Lady Musgrave Island, southern Great Barrier Reef. Sedimentology, 63(6), 1634-1650."
The Great Barrier Reef and Torres Strait,Australia,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
The Great Barrier Reef and Torres Strait,Australia - The Great Barrier Reef and Torres Strait,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Timor and Arafura Seas,Bonaparte Coast and Gulf of Carpentaria ,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G. J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Timor and Arafura Seas,"Darwin, Western Australia",Geo Oceans,Geo Oceans,Published paper or report,"Geo Oceans (2011). Technical Appendix S6 Ichthys Gas Field Development Project: Benthic Habitat Mapping of the Darwin Region - Methods of data collection, collation and map production, INPEX Document No. C036-AH-REP-0121, geo oceans innovation in marine science"
Timor and Arafura Seas,Gulf of Carpentaria ,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection."
Timor and Arafura Seas,"Australia - Kimberley, Western Australia","Department of Environment and Conservation, Northern Development Taskforce",Marine Ecosystems Branch,Published paper or report,"Department of Environment and Conservation (2008). Preliminary reconnaissance survey of benthic habitats in the Anjo Peninsula area, Kimberley Bioregion, Western Australia. Report to the Northern Development Taskforce, Department of Industry and Resources. Department of Environment and Conservation, Perth, WA, October 2008"
Timor and Arafura Seas,"Kimberley, Western Australia",Western Australian Museum,"Dr. Zoe Richards, Dr. Monika Bryce, Clay Bryce",Published paper or report,"Richards, Z., Bryce, M., & Bryce, C. (2018). The composition and structure of shallow benthic reef communities in the Kimberley, north-west Australia. Records of the Western Australian Museum, Supplement, 85(1). https://doi.org/10.18195/issn.0313-122x.85.2018.075-103 
"
